doi,title,firstauthor,authors,publisher,journal,published_year,published_date,abstract,url,affiliationtw,correspondingtw,or1,or2,or3,or5,nor1,nor2,nor3,legend,mic1,mic2,mic3,odb
10.1007/s10872-020-00544-8,Response of the Kuroshio east of Taiwan to mesoscale eddies and upstream variations,Vigan Mensah,"Vigan Mensah, Sen Jan, Magdalena Andres, Ming-Huei Chang",Springer Science and Business Media LLC,J Oceanogr,2020,2020-8,,https://doi.org/10.1007/s10872-020-00544-8,國立臺灣大學海洋研究所,詹森,True,False,False,False,False,False,False,False,True,False,False,True
10.1016/j.dsr.2017.11.006,Zonal migration and transport variations of the Kuroshio east of Taiwan induced by eddy impingements,Ming-Huei Chang,"Ming-Huei Chang, Sen Jan, Vigan Mensah, Magdalena Andres, Luc Rainville, Yiing Jang Yang, Yu-Hsin Cheng",Elsevier BV,Deep Sea Research Part I: Oceanographic Research Papers,2018,2018-1,,https://doi.org/10.1016/j.dsr.2017.11.006,,,True,False,False,False,False,False,False,False,False,False,False,False
10.1175/jpo-d-19-0035.1,Observations of Island Wakes at High Rossby Numbers: Evolution of Submesoscale Vortices and Free Shear Layers,Ming-Huei Chang,"Ming-Huei Chang, Sen Jan, Chih-Lun Liu, Yu-Hsin Cheng, Vigan Mensah",American Meteorological Society,,2019,2019-11,"Oceanic vortex evolution on the lee side of Taiwan’s Green Island (~7 km in diameter), where the Kuroshio flows at a speed of 1–1.5 m s−1, is observationally examined and compared to theories and the preceding results of laboratory experiments. In the near wake, recirculation occurs with a relative vorticity of ζ ~ 20f (where f is the planetary vorticity) and subsequently sheds at a combination of periods resulting from the tidal oscillations and the intrinsic time scale of eddy evolution. The tidal oscillations are the predominant processes. Our analysis suggests that an island positioned in the Kuroshio with periodic and cross-stream tidal excursions is analogous to a cross-stream oscillating cylinder. Consequently, the shedding period of the vortex is synchronized to a tidal period occurring close to the intrinsic period. The free shear layer, which is characterized by an ~30f relative vorticity band (2 km wide) and a wavy thermal front, develops between the Kuroshio and recirculation. The frontal wave occurring over a time period of 0.5–2 h resembles Kelvin–Helmholtz instability corresponding to high Re values. For the far wake, repeated cross-wake surveys suggest that cyclonic and anticyclonic vortices are alternatively present at a period close to the period of M2 tides in agreement with near-wake measurements. Repeated along-wake surveys reveal a cyclonic eddy shedding downstream at a speed of 0.35 m s−1, 1/3 of the upstream current speed, from the near wake. In comparing our observations with the results of previous water tank experiments, an Re value of O(103) for the submesoscale wake regime is expected.",https://doi.org/10.1175/jpo-d-19-0035.1,,,False,False,True,False,False,False,False,False,False,False,False,True
10.1175/jtech-d-16-0095.1,Combining Observations from Multiple Platforms across the Kuroshio Northeast of Luzon: A Highlight on PIES Data,Vigan Mensah,"Vigan Mensah, Magdalena Andres, Ren-Chieh Lien, Barry Ma, Craig M. Lee, Sen Jan",American Meteorological Society,,2016,2016-10,"This study presents amended procedures to process and map data collected by pressure-sensor-equipped inverted echo sounders (PIESs) in western boundary current regions. The modifications to the existing methodology, applied to observations of the Kuroshio from a PIES array deployed northeast of Luzon, Philippines, consist of substituting a hydrography-based mean travel time field for the PIES-based mean field and using two distinct gravest empirical mode (GEM) lookup tables across the front that separate water masses of South China Sea and North Pacific origin. In addition, this study presents a method to use time-mean velocities from acoustic Doppler current profilers (ADCPs) to reference (or “level”) the PIES-recorded pressures in order to obtain time series of absolute geostrophic velocity. Results derived from the PIES observations processed with the hydrography-based mean field and two GEMs are compared with hydrographic profiles sampled by Seagliders during the PIES observation period and with current velocity measured concurrently by a collocated ADCP array. The updated processing scheme leads to a 41% error decrease in the determination of the thermocline depth across the current, a 22% error decrease in baroclinic current velocity shear, and a 61% error decrease in baroclinic volume transports. The absolute volume transport time series derived from the leveled PIES array compares well with that obtained directly from the ADCPs with a root-mean-square difference of 3.0 Sv (1 Sv ≡ 106 m3 s–1), which is mainly attributed to the influence of ageostrophic processes on the ADCP-measured velocities that cannot be calculated from the PIES observations.",https://doi.org/10.1175/jtech-d-16-0095.1,國立臺灣大學海洋研究所,詹森,True,False,False,False,False,False,False,False,True,False,False,False
10.3319/tao.2019.07.07.01,Gas plumes and near-seafloor bottom current speeds of the southernmost Okinawa Trough determined from echo sounders,Ching-Hui Tsai,"Ching-Hui Tsai, Shu-Kun Hsu, Yen-Fu Chen, Hsiao-Shan Lin, Shiou-Ya Wang, Song-Chuen Chen, Chin-Wei Liang, Yen-Yu Cho",Springer Science and Business Media LLC,Terr. Atmos. Ocean. Sci.,2019,2019,,https://doi.org/10.3319/tao.2019.07.07.01,中央大學環境研究中心,蔡慶輝,True,True,False,False,False,False,False,False,False,False,False,False
10.3319/tao.2017.07.02.01,Active normal faults and submarine landslides in the Keelung Shelf off NE Taiwan,Ching-Hui Tsai,"Ching-Hui Tsai, Chi-Lo Huang, Shu-Kun Hsu, Wen-Bin Doo, Shiao-Shan Lin, Shiou-Ya Wang, Jing-Yi Lin, Chin-Wei Liang",Springer Science and Business Media LLC,Terr. Atmos. Ocean. Sci.,2018,2018,,https://doi.org/10.3319/tao.2017.07.02.01,中央大學環境研究中心,蔡慶輝,True,True,False,False,False,False,False,False,False,False,False,False
10.1016/j.tecto.2021.229047,Active tectonics and volcanism in the southernmost Okinawa Trough back-arc basin derived from deep-towed sonar surveys,Ching-Hui Tsai,"Ching-Hui Tsai, Shu-Kun Hsu, Song-Chuen Chen, Shiou-Ya Wang, Lien-Kai Lin, Pi-Chun Huang, Kuan-Ting Chen, Hsiao-Shan Lin, Chin-Wei Liang, Yen-Yu Cho",Elsevier BV,Tectonophysics,2021,2021-10,,https://doi.org/10.1016/j.tecto.2021.229047,中央大學環境研究中心,蔡慶輝,True,True,False,False,False,False,False,True,False,False,False,False
10.1038/s41598-019-47912-z,Glider observations of interleaving layers beneath the Kuroshio primary velocity core east of Taiwan and analyses of underlying dynamics,Sen Jan,"Sen Jan, Shih-Hong Wang, Kai-Chieh Yang, Yiing Jang Yang, Ming-Huei Chang",Springer Science and Business Media LLC,Sci Rep,2019,2019-8-6,"Submesoscale interleaving layers are caused by lateral intrusions of dissimilar water masses in frontal zones, which are significant processes in shaping physical, biogeochemical, and ecological parameters in the ocean. Possible interleaving layers were sometimes observed by ship-based conductivity-temperature-depth (CTD) surveys with coarse spacing between adjacent stations in the Kuroshio region east of Taiwan but have never been examined dynamically. Here we show the characteristics of interleaving layers observed by a Seaglider with two repeated hydrographic surveys along a triangle track east of Taiwan from December 2016 to March 2017. Salinity profiles indicate that prominent interleaving layers appeared in the intermediate layer (approximately 500–800 m) with vertical and horizontal length scales of O(50) m and O(10–100) km, respectively, during our observations. A dipole eddy pair and a relatively large anticyclonic eddy impinged on the Kuroshio during the first and second surveys, respectively, which brought certain impacts on the interleaving motion as the eddy potentially altered the density slope across the Kuroshio. The associated instability analysis and the Turner angle suggest that the double diffusive instability is the primary driving mechanism for the development of interleaving layers.",https://doi.org/10.1038/s41598-019-47912-z,國立臺灣大學海洋研究所,詹森,True,False,False,False,False,False,False,False,True,False,False,True
10.3389/fmars.2022.900299,Kuroshio Intrusion and Its Impact on Swordtip Squid (Uroteuthis edulis) Abundance in the Southern East China Sea,Yi-Chen Cheng,"Yi-Chen Cheng, Sen Jan, Chung-Chi Chen",Frontiers Media SA,Front. Mar. Sci.,2022,2022-5-30,"Swordtip squid (Uroteuthis edulis) is a primary target species of the commercial fishery in the southern East China Sea (ECS), and they normally migrate to a quasi-permanent upwelling zone (called a cold dome) off northeastern Taiwan for spawning and growth during spring (March–May) and fall (October–December) in a year. We examined the connection of the variability in its standardized annual catch per unit effort (CPUE) during 2009–2017 in regard to the physical processes on the southern shelf of the ECS using temperature and wind observations from an isle north of Taiwan (Peng-jia-yu) as well as satellite sea surface temperature and absolute geostrophic velocity. The annual CPUE is positively correlated with the daily temperature anomaly at Peng-jia-yu in the cold dome in October of the previous year and April of the year. A warmer environment favors the recruitment and consequently the catch of the swordtip squid. During the spawning periods of the 9 years, the warm water carried by the Kuroshio frequently intruded atop the cold dome, which benefited the growth of the larvae and consequently helped maintain a certain value of the standardized annual CPUE. The anomalously low CPUE in 2012 and 2016 is attributed to the blocking of the Kuroshio intrusion due to cold and less salty China Coastal Water atop the cold dome in the spring spawning of 2012 and 2016. Based on the velocity strength in the cold dome and in a specified shelf region together with the daily temperature anomaly at Peng-jia-yu, an occupation intensity factor is used to evaluate the dominance of warm Kuroshio water and cold shelf water in the cold dome, which could help predict annual catches.",https://doi.org/10.3389/fmars.2022.900299,臺大海洋所,詹森,False,False,False,False,False,False,False,False,False,False,False,True
10.3389/fmars.2022.829579,Shear Instability and Turbulent Mixing in the Stratified Shear Flow Behind a Topographic Ridge at High Reynolds Number,Jia-Lin Chen,"Jia-Lin Chen, Xiao Yu, Ming-Huei Chang, Sen Jan, Yiing Jang Yang, Ren-Chieh Lien",Frontiers Media SA,Front. Mar. Sci.,2022,2022-5-18,"Observations on the lee of a topographic ridge show that the turbulence kinetic energy (TKE) dissipation rate due to shear instabilities is three orders of magnitude higher than the typical value in the open ocean. Laboratory-scale studies at low Reynolds number suggest that high turbulent dissipation occurs primarily within the core region of shear instabilities. However, field-scale studies indicate that high turbulence is mainly populated along the braids of shear instabilities. In this study, a high-resolution, resolving the Ozmidov-scale, non-hydrostatic model with Large Eddy Simulation (LES) turbulent closure is applied to investigate dominant mechanisms that control the spatial and temporal scales of shear instabilities and resulting mixing in stratified shear flow at high Reynolds number. The simulated density variance dissipation rate is elevated in the cusp-like bands of shear instabilities with a specific period, consistent with the acoustic backscatter taken by shipboard echo sounder. The vertical length scale of each cusp-like band is nearly half of the vertical length scale of the internal lee wave. However, it is consistent with instabilities originating from a shear layer based on linear stability theory. The model results indicate that the length scale and/or the period of shear instabilities are the key parameters to the mixing enhancement that increases with lateral Froude number FrL, i.e. stronger shear and/or steeper ridge.",https://doi.org/10.3389/fmars.2022.829579,,,True,False,True,False,False,False,False,False,True,False,False,False
10.1016/j.dsr.2022.103741,Free-living marine bacterioplankton composition and diversity along the Kuroshio region,Ariana Chih-Hsien Liu,"Ariana Chih-Hsien Liu, Feng-Hsun Chang, Jinny Wu Yang, Hiroaki Saito, Yu Umezawa, Chung-Chi Chen, Sen Jan, Chih-hao Hsieh",Elsevier BV,Deep Sea Research Part I: Oceanographic Research Papers,2022,2022-5,,https://doi.org/10.1016/j.dsr.2022.103741,,,True,False,False,False,False,False,False,False,True,False,False,False
10.1038/s41598-021-93219-3,Mooring observed intraseasonal oscillations in the central South China Sea during summer monsoon season,Sen Jan,"Sen Jan, Ming-Huei Chang, Yiing Jang Yang, Chung-Hsiung Sui, Yu-Hsin Cheng, Yu-Yu Yeh, Chung-Wei Lee",Springer Science and Business Media LLC,Sci Rep,2021,2021-7-1,"The South China Sea (SCS) is a high biodiversity region in the world ocean, supports abundant marine resources to the peripheral nations, and affects weather/climate in southeast Asia. A better understanding of its circulation is important to better prediction and management of the SCS. Here we reveal sizable intraseasonal oscillations at period ~ 50 days between May and November 2017 in the acoustic Doppler current profiler observed velocity in the central SCS. Satellite observed wind and sea level data together with a process-oriented numerical experiment suggest that the oscillations were caused by locally-generated and remotely-penetrated westward-propagating Rossby waves. The summer southwesterly monsoon strengthening/weakening and the resultant Ekman pumping velocity and shoreward Ekman transport increase/decrease and consequent coastal sea level rise/fall off the west coast of Palawan create westward-propagating Rossby waves causing velocity oscillations in the central SCS. Besides the local generation, Rossby waves with sea level anomaly &gt; 0.2 m propagating from the Pacific through the Sulu Sea into the SCS could contribute to the intraseasonal velocity oscillations in the central SCS.",https://doi.org/10.1038/s41598-021-93219-3,臺大海洋所,詹森,True,False,False,False,False,False,False,False,True,False,False,False
10.1016/j.pocean.2020.102315,Deep sea floor observations of typhoon driven enhanced ocean turbulence,Hans van Haren,"Hans van Haren, Wu-Cheng Chi, Chu-Fang Yang, Yiing-Jang Yang, Sen Jan",Elsevier BV,Progress in Oceanography,2020,2020-5,,https://doi.org/10.1016/j.pocean.2020.102315,,,True,False,False,False,False,False,False,False,True,False,False,False
10.3389/fmicb.2020.00449,Vertical Beta-Diversity of Bacterial Communities Depending on Water Stratification,Wan-Hsuan Cheng,"Wan-Hsuan Cheng, Hsiao-Pei Lu, Chung-Chi Chen, Sen Jan, Chih-hao Hsieh",Frontiers Media SA,Front. Microbiol.,2020,2020-3-19,,https://doi.org/10.3389/fmicb.2020.00449,,,True,False,False,False,False,False,False,False,True,False,False,False
10.1016/j.tecto.2022.229254,Sedimentary sequences offshore northeastern Taiwan and the offshore projection of the Shanjiao Fault zone,Quang-Minh Nguyen,"Quang-Minh Nguyen, Shu-Kun Hsu, Andrew Tien-Shun Lin, Chih-Cheng Yang",Elsevier BV,Tectonophysics,2022,2022-3,,https://doi.org/10.1016/j.tecto.2022.229254,中央大學,許樹坤,True,True,False,False,False,False,False,False,False,False,False,True
10.1016/j.tecto.2021.229010,Hualien Ridge: A tectonic ridge transitioning from plate collision to subduction,Lien-Kai Lin,"Lien-Kai Lin, Shu-Kun Hsu, Ching-Hui Tsai, Yi-Ching Yeh, Shiou-Ya Wang, Kuan-Ting Chen, Song-Chuen Chen, Hsiao-Shan Lin",Elsevier BV,Tectonophysics,2021,2021-10,,https://doi.org/10.1016/j.tecto.2021.229010,中央大學,許樹坤,True,True,False,False,False,False,False,True,False,False,False,False
10.1016/j.tecto.2021.228995,Seismogenic structure along the deformation front off SW Taiwan revealed by the aftershocks of the 2017 Tainan near-shore earthquake with ocean bottom seismometers,Wen-Nan Wu,"Wen-Nan Wu, Chung-Liang Lo, Wen-Bin Doo, Jing-Yi Lin, Shu-Kun Hsu",Elsevier BV,Tectonophysics,2021,2021-9,,https://doi.org/10.1016/j.tecto.2021.228995,中央大學,許樹坤,True,False,True,False,False,False,False,False,False,False,False,False
10.1007/s11001-021-09429-x,Shallow gas hydrates off southwest Taiwan and their mechanisms,Yin-Sheng Huang,"Yin-Sheng Huang, Shu-Kun Hsu, Chih-Chieh Su, Andrew Tien-Shun Lin, Pai-Sen Yu, Nathalie Babonneau, Gueorgui Ratzov, Serge Lallemand, Pi-Chuen Huang, Shiao-Shan Lin, Jing-Yi Lin, Kuo-Yen Wei, Yuan-Pin Chang, Neng-Ti Yu, Ching-Hui Tsai",Springer Science and Business Media LLC,Mar Geophys Res,2021,2021-3,"We have collected two shallow gas hydrate samples at two sites having different geological settings off southwest Taiwan during the cruise MD214 in 2018. The first core site, MD18-3542, is on the South Yuan-An East Ridge at ~ 1200 m water deep, where a structural unconformity covered by fine-silt sediments appears at ~ 5.5 m below the seafloor. The second core site, MD18-3543, is close to the Good-Weather Ridge at ~ 1100 m water deep, where a gas-related pockmark structure and authigenic carbonates are present at shallow strata with fine-silt sediments near the seafloor. Sediment properties of core MD18-3542 are distinctively different above and below the layer corresponding to the unconformity. Both cores show obvious gaps or voids in the lower core halves. The core features could be linked to the dissociated methane upward migrating from deep strata. Core site settings with upwelling methane would favor the formation of shallow gas hydrates. At site MD18-3542, the shallow hydrate could be formed due to high concentration methane kept beneath the unconformity covered by fine-silt sediments. At site MD18-3543, the shallow hydrate could be formed due to an extremely high flux of upwelling methane trapped either beneath the authigenic carbonates or fine-silt sediments.",https://doi.org/10.1007/s11001-021-09429-x,中央大學,許樹坤,True,False,False,False,False,False,False,True,False,False,False,False
10.3390/w14020152,Interplay between Asian Monsoon and Tides Affects the Plume Dispersal of the New Hu-Wei River off the Coast of Midwest Taiwan,Chia-Ying Ho,"Chia-Ying Ho, Tien-Hsi Fang, Cheng-Han Wu, Hung-Jen Lee",MDPI AG,Water,2022,2022-1-7,"In the coupled estuary–shelf system, plumes originating from the New Hu-Wei and Choshui rivers, consisting of many terrestrial materials, could contaminate the water of the Mailiao industrial harbor. To determine the contribution of the two rivers to pollution, the interaction between river-forced, tide-generating, and monsoon-driven water motions in and around the Mailiao industrial zone harbor was examined by performing a series of numerical model experiments. We used a three-dimensional general circulation model to examine the interplay between Asian monsoon-driven, river-forced, and tide-induced water motions, one of which could primarily affect the plume. The model-derived results for different river discharges revealed that almost all of the ammonium entering the harbor had a slope-positive trend, with oscillations in response to flood–ebb tidal cycles. The ammonium increased with time and flux, except for the 10 m3/s flux. Although the river discharge flux exceeded 200 m3/s, the ammonium entering the harbor was the same as that of the 200 m3/s flux; the ammonium concentration did not increase significantly with time after the flux exceeded 200 m3/s. In addition, irrespective of flood or ebb tidal currents being suppressed by strong Asian monsoons, this mechanism avoided contaminating the water quality of the harbor while northeasterly winds prevailed. By contrast, the southwesterly monsoon drove the geostrophic current northward along the coast; concurrently, the coastal sea level increased to form the surface isobar slope up toward the coast, producing a secondary flow to accelerate geostrophic alongshore currents. The northward geostrophic currents compressed the plumes shoreward, forming a relatively narrow-band plume; the coupling model demonstrated that the southwesterly monsoon-driven current pushed plumes favorably along the west pier into the harbor.",https://doi.org/10.3390/w14020152,國立台灣海洋大學,李宏仁,False,False,False,False,False,False,False,False,False,False,False,True
10.1016/j.dsr.2017.01.011,Remarkable vertical shift in residence depth links pelagic larval and demersal adult jellynose fish,Jen-Chieh Shiao,"Jen-Chieh Shiao, Tsung-Da Sui, Ni-Na Chang, Chih-Wei Chang",Elsevier BV,Deep Sea Research Part I: Oceanographic Research Papers,2017,2017-3,,https://doi.org/10.1016/j.dsr.2017.01.011,臺灣大學海洋研究所,蕭仁傑,False,False,False,False,False,False,False,False,False,False,False,True
10.1016/j.dsr.2017.05.014,Internal tides affect benthic community structure in an energetic submarine canyon off SW Taiwan,Jian-Xiang Liao,"Jian-Xiang Liao, Guan-Ming Chen, Ming-Da Chiou, Sen Jan, Chih-Lin Wei",Elsevier BV,Deep Sea Research Part I: Oceanographic Research Papers,2017,2017-7,,https://doi.org/10.1016/j.dsr.2017.05.014,國立臺灣大學海洋研究所,魏志潾,True,False,False,False,False,False,False,False,True,False,False,True
10.3389/fmars.2020.00591,Species and Functional Diversity of Deep-Sea Nematodes in a High Energy Submarine Canyon,Jian-Xiang Liao,"Jian-Xiang Liao, Chih-Lin Wei, Moriaki Yasuhara",Frontiers Media SA,Front. Mar. Sci.,2020,2020-7-21,,https://doi.org/10.3389/fmars.2020.00591,國立臺灣大學海洋研究所,魏志潾,True,False,False,False,False,False,False,False,True,False,False,True
10.1007/s00248-021-01788-7,How Communities of Marine Stramenopiles Varied with Environmental and Biological Variables in the Subtropical Northwestern Pacific Ocean,Yun-Chi Lin,"Yun-Chi Lin, Chien-Pang Chin, Jinny Wu Yang, Kuo-Ping Chiang, Chih-hao Hsieh, Gwo-Ching Gong, Chi-Yu Shih, Szu-Ying Chen",Springer Science and Business Media LLC,Microb Ecol,2022,2022-5,"MArine STramenopiles (MASTs) have been recognized as parts of heterotrophic protists and contribute substantially to protist abundances in the ocean. However, little is known about their spatiotemporal variations with respect to environmental and biological factors. The objectives of this study are to use canonical correspondence analysis to investigate how MASTs communities are shaped by environmental variables, and co-occurrence networks to examine their potential interactions with prokaryotic communities. Our dataset came from the southern East China Sea (sECS) in the subtropical northwestern Pacific, and involved 14 cruises along a coastal-oceanic transect, each of which sampled surface water from 4 to 7 stations. MASTs communities were revealed by metabarcoding of 18S rDNA V4 region. Most notably, MAST-9 had a high representation in warm waters in terms of read number and diversity. Subclades of MAST-9C and -9D showed slightly different niches, with MAST-9D dominating in more coastal waters where concentrations of nitrite and Synechococcus were higher. MAST-1C was a common component of colder water during spring. Overall, canonical correspondence analysis showed that MASTs communities were significantly influenced by temperature, nitrite and Synechococcus concentrations. The co-occurrence networks showed that certain other minor prokaryotic taxa can influence MAST communities. This study provides insight into how MASTs communities varied with environmental and biological variables.",https://doi.org/10.1007/s00248-021-01788-7,,,False,True,False,False,False,False,False,False,False,False,False,True
10.3389/fmars.2022.865081,The Spatial Variation in Chlorophyte Community Composition From Coastal to Offshore Waters in a Subtropical Continental Shelf System,Yun-Chi Lin,"Yun-Chi Lin, Chien-Pang Chin, Wei-Ting Chen, Ching-Ting Huang, Gwo-Ching Gong, Kuo-Ping Chiang, Xin-Bei Chen",Frontiers Media SA,Front. Mar. Sci.,2022,2022-7-13,"Globally, the continental shelf occupies less than 10% of the total sea surface, but supports substantial primary production and fisheries. Photosynthetic picoeukaryotes (PPE) are important primary producers in marine ecosystems, and chlorophytes make a significant contribution to PPE abundance. Although the distribution of chlorophytes has been widely studied, little is known about how their community composition varies along the coastal-offshore gradient in subtropical continental shelf waters. To better understand their spatial variations, we employed metabarcoding data of 18S rRNA V4 gene to examine chlorophyte composition within the surface and deep chlorophyll maximum (DCM) layers over the continental shelf in the East China Sea (ECS) with high-resolution sampling. Our results indicate a higher chlorophyte diversity in the surface layer than in the DCM. In addition, we found that chlorophytes in oligotrophic Kuroshio surface water were the most diverse, with a higher percentage of Chloropicophyceae, prasinophyte clade V, prasinophyte clade IX, Palmophyllophyceae and Chlorodendrophyceae. In more eutrophic waters along the coast and within the DCM layer, chlorophytes were dominated by Mamiellophyceae. A significant spatial variation in community composition occurred along the nutrient gradient in the subtropical continental shelf ecosystem, varying from Mamiellophyceae-dominant in coastal water to Chloropicophyceae-dominant in offshore water. Furthermore, at a low saline coastal station, which had the lowest chlorophyte diversity, Picochlorum (Trebouxiophyceae) was dominant. Overall, chlorophyte diversity was positively correlated with temperature, and negatively correlated with silicate concentration. This study revealed that terrestrial input into continental systems influences chlorophyte diversity in the subtropical northwestern Pacific Ocean.",https://doi.org/10.3389/fmars.2022.865081,海洋大學環態所,林芸琪,True,False,False,False,False,False,False,False,False,False,False,False
10.1016/j.csr.2017.04.009,Community composition of picoeukaryotes in the South China Sea during winter,Yun-Chi Lin,"Yun-Chi Lin, Kuo-Ping Chiang, Lee-Kuo Kang",Elsevier BV,Continental Shelf Research,2017,2017-7,,https://doi.org/10.1016/j.csr.2017.04.009,海洋大學環態所,林芸琪,False,False,False,True,False,False,False,False,False,False,False,False
10.1038/s43247-020-00083-6,Direct measurements reveal instabilities and turbulence within large amplitude internal solitary waves beneath the ocean,Ming-Huei Chang,"Ming-Huei Chang, Yu-Hsin Cheng, Yiing Jang Yang, Sen Jan, Steven R. Ramp, D. Benjamin Reeder, Wan-Ting Hsieh, Dong S. Ko, Kristen A. Davis, Huan-Jie Shao, Ruo-Shan Tseng",Springer Science and Business Media LLC,Commun Earth Environ,2021,2021-1-22,"Internal solitary waves are ubiquitous in coastal regions and marginal seas of the world’s oceans. As the waves shoal shoreward, they lose the energy obtained from ocean tides through globally significant turbulent mixing and dissipation and consequently pump nutrient-rich water to nourish coastal ecosystem. Here we present fine-scale, direct measurements of shoaling internal solitary waves in the South China Sea, which allow for an examination of the physical processes triggering the intensive turbulent mixing in their interior. These are convective breaking in the wave core and the collapse of Kelvin–Helmholtz billows in the wave rear and lower periphery of the core, often occurring simultaneously. The former takes place when the particle velocity exceeds the wave’s propagating velocity. The latter is caused by the instability induced by the strong velocity shear overcoming the stratification. The instabilities generate turbulence levels four orders of magnitude larger than that in the open ocean.",https://doi.org/10.1038/s43247-020-00083-6,臺灣大學海洋研究所,張明輝,True,False,True,False,False,False,False,False,True,False,True,False
10.1029/2021gl092616,Marginal Instability Within Internal Solitary Waves,Ming‐Huei Chang,Ming‐Huei Chang,American Geophysical Union (AGU),Geophysical Research Letters,2021,2021-5-16,"High‐resolution observations of the currents, hydrography, and turbulence within internal solitary waves (ISWs) reveal Kelvin‐Helmholtz (KH) billows and breaking waveforms occurring in the lower periphery and in the trailing edges, respectively, of the wave cores. Marginal instability (MI) is evident in wave cores, where the probability distribution of the Richardson number Ri, fluctuates around 0.25. The critical value for the occurrence of KH instability in ISWs is evidently 0.25, the canonical criterion of a parallel stratified shear flow. When Ri &gt; 0.25, the turbulent diffusivity Κρ remains O (10−3) m2 s−1 with a standard deviation of one order. When Ri crosses the critical value, the logarithmic turbulent diffusivity linearly increases with a logarithmic reduction in Ri to smooth the velocity and density differences so that Ri is ultimately restored to &gt;0.25. Therefore, the processes of MI cycling preserve ISWs against breakdowns resulting from the uninterrupted growth of KH instability.",https://doi.org/10.1029/2021gl092616,臺灣大學海洋研究所,張明輝,True,False,True,False,False,False,False,False,True,False,True,False
10.1016/j.jseaes.2017.03.028,Land-sea duel in the late Quaternary at the mouth of a small river with high sediment yield,Rick J. Yang,"Rick J. Yang, James T. Liu, Daidu Fan, George S. Burr, Hui-Ling Lin, Ting-Ting Chen",Elsevier BV,Journal of Asian Earth Sciences,2017,2017-8,,https://doi.org/10.1016/j.jseaes.2017.03.028,中山大學,劉祖乾,False,False,True,False,False,False,False,False,False,False,False,False
10.1016/j.jseaes.2022.105347,Application of acoustic classification in different sedimentary environments: A case study of the Gaoping slope in the southwest coast of Taiwan,Tzu-Ting Chen,"Tzu-Ting Chen, Chen-Fen Huang, Chih-Chieh Su, Char-Shine Liu, Ho-Han Hsu, Sheng-Ting Hsu, Jin-Yuan Liu",Elsevier BV,Journal of Asian Earth Sciences,2022,2022-10,,https://doi.org/10.1016/j.jseaes.2022.105347,臺灣大學,蘇志杰,True,False,True,False,False,False,False,False,False,False,False,False
10.3319/tao.2017.06.21.01,Sedimentological characteristics and seafloor failure offshore SW Taiwan,Chih-Chieh Su,"Chih-Chieh Su, Sheng-Ting Hsu, Huai-Houh Hsu, Jing-Yi Lin, Jia-Jyun Dong",Springer Science and Business Media LLC,Terr. Atmos. Ocean. Sci.,2018,2018,,https://doi.org/10.3319/tao.2017.06.21.01,臺灣大學,蘇志杰,True,False,True,False,False,False,False,False,False,False,False,False
10.3390/jmse10121943,Concentrations and Characteristics of Polybrominated Diphenyl Ethers (PBDEs) in Marine Zooplankton from the Gaoping Waters of Southwestern Taiwan,Hung-Yen Hsieh,"Hung-Yen Hsieh, Kuang-Ching Huang, Jing-O Cheng, Fung-Chi Ko, Pei-Jie Meng",MDPI AG,JMSE,2022,2022-12-8,"Bioaccumulation by zooplankton is the outset for persistent organic pollutants that enter the marine food chain. Owing to a full spectrum of anthropogenic activities, the Gaoping waters of southwestern Taiwan are exposed to large quantities of polybrominated diphenyl ethers (PBDEs). However, information on these contaminants in zooplankton in this study area is lacking. In this study, we analyzed 19 PBDE congeners concentrations in 36 zooplankton samples from the Gaoping waters. A high variation in the total PBDE concentrations in zooplankton (from not detected to 1415 ng g−1 dry weight) was found, with the highest PBDE levels being recorded near the entrance of the Kaohsiung Harbor (KH). Significantly higher levels were noted for the KH transect than for the Gaoping River estuary (GR) and Fengshan Township (FS) transects, indicating that PBDE inputs originate from the ocean sewage outfalls. BDE-15 (43%) and BDE-209 (16%) were the predominant PBDE congeners in the zooplankton. Our results suggest that anthropogenic activities might predominantly contribute to significantly high PBDE concentrations. The traditional food web may easily transport these higher levels of PBDEs in zooplankton to higher trophic levels of marine organisms, since the Gaoping waters serve as essential nursery and spawning grounds for invertebrates and fishes.",https://doi.org/10.3390/jmse10121943,國立東華大學,謝泓諺,False,False,True,False,False,False,False,False,False,False,False,False
10.1016/j.envres.2022.114863,"Comparison of polycyclic aromatic hydrocarbon accumulation in crab tissues with the ambient marine particles from shallow hydrothermal vents, northeast Taiwan",Fang-Jing Deborah Lee,"Fang-Jing Deborah Lee, Jiang-Shiou Hwang, Jing-O Cheng, Huei-Ting Lin, Fung-Chi Ko",Elsevier BV,Environmental Research,2023,2023-1,,https://doi.org/10.1016/j.envres.2022.114863,國立海洋生物博物館,柯風溪,False,True,False,False,False,False,False,False,False,False,False,False
